nazwa,Substancja czynna,postac,dawka,Zawartosc opakowania,Kod EAN lub inny kod odpowiadajacy kodowi EAN,Poziom odplatnosci,Zakres wskazan objetych refundacja,Wysokosc doplaty swiadczeniobiorcy
Flixonase Nasule,Fluticasonum, krople do nosa, zawiesina,28 poj. (4 sasz.po 7 poj.),05909990933822,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"25,69"
Flixotide,Fluticasonum, zawiesina do nebulizacji, 0.5 mg/2 ml,10 poj. (2 sasz.po 5 poj.),05909990956517,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"10,90"
Flixotide,Fluticasonum, aerozol inhalacyjny, zawiesina,120 daw.,05909990851423,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"40,27"
Flixotide,Fluticasonum, aerozol inhalacyjny, zawiesina,60 daw.,05909990851416,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"22,56"
Flixotide,Fluticasonum, zawiesina do nebulizacji, 2 mg/2 ml,10 poj. (2 sasz.po 5 poj.),05909990956616,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"7,97"
Flixotide,Fluticasonum, aerozol inhalacyjny, zawiesina,120 daw.,05909990851522,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"49,48"
Flixotide,Fluticasonum, aerozol inhalacyjny, zawiesina,60 daw.,05909990851515,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"37,09"
Flixotide,Fluticasonum, aerozol inhalacyjny, zawiesina,120 daw.,05909990851317,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"22,79"
Flixotide Dysk,Fluticasonum, proszek do inhalacji, 100 ug/dawke inhalacyjna,60 daw.,05909990484621,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"23,35"
Flixotide Dysk,Fluticasonum, proszek do inhalacji, 250 ug/dawke inhalacyjna,60 daw.,05909990484720,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"34,83"
Flixotide Dysk,Fluticasonum, proszek do inhalacji, 50 ug/dawke inhalacyjna,60 daw.,05909990484522,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"18,49"
Flixotide Dysk,Fluticasonum, proszek do inhalacji, 500 ug/dawke inhalacyjna,60 daw.,05909990484829,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"49,48"
Flutixon,Fluticasonum, proszek do inhalacji w kaps. twardej, 125 ug,120 kaps.,05909990938001,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"18,34"
Flutixon,Fluticasonum, proszek do inhalacji w kaps. twardej, 125 ug/dawke inhalacyjna,60 kaps.,05909990785858,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"14,18"
Flutixon,Fluticasonum, proszek do inhalacji w kaps. twardej, 250 ug,120 kaps.,05909990938025,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"30,73"
Flutixon,Fluticasonum, proszek do inhalacji w kaps. twardej, 250 ug/dawke inhalacyjna,60 kaps.,05909990785889,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"18,70"
Fevarin,Fluvoxaminum, tabl. powl., 100 mg,30 szt.,05909990347827,30p,Choroby psychiczne lub uposledzenia umyslowe,"29,31"
Fevarin,Fluvoxaminum, tabl. powl., 50 mg,60 szt.,05909990347728,30p,Choroby psychiczne lub uposledzenia umyslowe,"29,31"
Rekovelle,Folitropinum delta, roztwor do wstrzykiwan, 12 ug/0,"1 wstrzykiwacz 0,36 ml + 3 igly",05909991343019,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli","119,11"
Rekovelle,Folitropinum delta, roztwor do wstrzykiwan, 72 ug/2,"1 wstrzykiwacz 2,16 ml + 9 igiel",05909991343033,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli","635,77"
Bemfola,Follitropinum alfa, roztwor do wstrzykiwan we wstrzykiwaczu, 150 j.m.,1 wstrzykiwacz,07640165220177,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","22,48"
Bemfola,Follitropinum alfa, roztwor do wstrzykiwan, 150 j.m./0,"1 wstrzykiwacz po 0,25 ml",05997001308486,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","22,48"
Bemfola,Follitropinum alfa, roztwor do wstrzykiwan we wstrzykiwaczu, 225 j.m.,1 wstrzykiwacz,07640165220184,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","26,41"
Bemfola,Follitropinum alfa, roztwor do wstrzykiwan, 225 j.m./0,"1 wstrzykiwacz po 0,375 ml",05997001308493,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","26,41"
Bemfola,Follitropinum alfa, roztwor do wstrzykiwan we wstrzykiwaczu, 300 j.m.,1 wstrzykiwacz,07640165220191,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","29,98"
Bemfola,Follitropinum alfa, roztwor do wstrzykiwan, 300 j.m./0,"1 wstrzykiwacz po 0,5 ml",05997001308509,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","29,98"
Gonal-f,Follitropinum alfa, roztwor do wstrzykiwan we wkladzie do wstrzykiwacza polautomatycznego, 300 j.m. (IU)/0,5 ml),05909990007257,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","84,41"
Gonal-f,Follitropinum alfa, roztwor do wstrzykiwan w ampulko-strzykawce, 75 j.m. (IU) (5,1 fiol. + 1 amp.-strz. z rozp.,05909990697304,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","30,34"
Gonal-f,Follitropinum alfa, roztwor do wstrzykiwan we wkladzie do wstrzykiwacza polautomatycznego, 900 j.m. (IU)/1,5 ml),05909990007240,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","221,74"
Ovaleap,Follitropinum alfa, roztwor do wstrzykiwan, 300 j.m./0,"1 wklad 0,5ml + 10 igiel iniekcyjnych",05909991088125,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","3,20"
Ovaleap,Follitropinum alfa, roztwor do wstrzykiwan, 900 j.m./1,"1 wklad 1,5ml + 20 igiel iniekcyjnych",05909991088149,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli. Stymulacja wzrostu pecherzykow jajnikowych u pacjentek w wieku ponizej 40 roku zycia ze znacznym niedoborem LH, FSH w skojarzeniu z hormonem luteinizujacym LH - refundacja do 3 cykli","3,20"
Puregon,Follitropinum beta, roztwor do wstrzykiwan, 300 j.m.,1 wkl.,05909990339754,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli","29,98"
Puregon,Follitropinum beta, roztwor do wstrzykiwan, 600 j.m.,1 wkl.,05909990339761,ryczalt,"Kontrolowana hiperstymulacja jajnikow u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli. Brak owulacji u pacjentek w wieku ponizej 40 roku zycia, u ktorych nie uzyskano odpowiedzi po zastosowaniu cytrynianu klomifenu, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)) - refundacja do 3ˇcykli","44,24"
Foradil,Formoteroli fumaras, proszek do inhalacji w kaps. twardych, 12 ug,180 szt.,07613421020934,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"9,60"
Foramed,Formoteroli fumaras, proszek do inhalacji w kaps. twardych, 12 ug/dawke inhalacyjna,60 szt. (6 blist.po 10 szt.) + inh.,05909991109523,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"5,41"
Zafiron,Formoteroli fumaras, proszek do inhalacji w kaps. twardych, 12 ug,120 kaps.,05909990937981,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"6,40"
Oxodil PPH,Formoteroli fumaras dihydricus, proszek do inhalacji w kaps. twardych, 12 ug,60 kaps.,05909990849000,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"6,48"
Atimos,Formoterolum, aerozol inhalacyjny, roztwor,1 szt. (1 poj.po 120 daw.),05909990620777,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"12,08"
Foradil,Formoterolum, proszek do inhalacji w kaps. twardych, 12 ug,60 szt. (6 blist.po 10 szt.),05909990792924,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"5,97"
Foramed,Formoterolum, proszek do inhalacji w kaps. twardych, 12 ug/dawke inhalacyjna,120 szt.,05909991086602,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"6,40"
Forastmin,Formoterolum, proszek do inhalacji w kaps. twardej, 12 ug,60 szt. (1 but.po 60 szt.),05909990614400,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"5,64"
Forastmin,Formoterolum, proszek do inhalacji w kapsulce twardej, 12 ug,120 szt (2 but.po 60 szt.),05909991218287,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"6,40"
Forastmin,Formoterolum, proszek do inhalacji w kapsulce twardej, 12 ug,180 szt (3 but.po 60 szt.),05909991218294,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"9,60"
Formoterol Easyhaler,Formoterolum, proszek do inhalacji, 12 mcg,1 poj. (120 daw.) (+ op.ochr.),05909990337446,ryczalt,"Astma, przewlekla obturacyjna choroba pluc, eozynofilowe zapalenie oskrzeli","7,42"
Oxis Turbuhaler,Formoterolum, proszek do inhalacji, 4.5 ug/dawke,1 inh.po 60 daw.,05909990445219,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"14,30"
Oxis Turbuhaler,Formoterolum, proszek do inhalacji, 9 ug/dawke,1 inh.po 60 daw.,05909990445318,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"3,20"
Oxodil PPH,Formoterolum, proszek do inhalacji w kaps. twardych, 12 ug,120 szt.,05909990996681,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"6,40"
Zafiron,Formoterolum, proszek do inhalacji w kaps. twardych, 12 ug,60 kaps. (6 blist.po 10 kaps.),05909990975914,ryczalt,Astma. Przewlekla obturacyjna choroba pluc. Eozynofilowe zapalenie oskrzeli,"6,49"
Furaginum Adamed,Furaginum/Furazidinum, tabl., 50 mg,30 szt.,05909990357215,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,66"
Furaginum Teva,Furaginum/Furazidinum, tabletki, 100 mg,30 tabl.,05909991373238,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,19"
Furaginum Teva,Furaginum/Furazidinum, tabl., 50 mg,30 szt.,05909990988235,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,66"
Furazek,Furaginum/Furazidinum, tabletki, 100 mg,30 tabl.,05909991304102,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,19"
Furosemidum Polfarmex,Furosemidum, tabl., 40 mg,30 szt. (3 blist.po 10 szt.),05909990223794,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,21"
Furosemidum Polpharma,Furosemidum, tabl., 40 mg,30 szt.,05909990135028,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Gabacol,Gabapentinum, kaps. twarde, 100 mg,100 kaps.,05909991320966,ryczalt,Padaczka oporna na leczenie,"3,20"
Gabacol,Gabapentinum, kaps. twarde, 100 mg,50 kaps.,05909991320911,ryczalt,Padaczka oporna na leczenie,"3,20"
Gabacol,Gabapentinum, kaps. twarde, 300 mg,100 kaps.,05909991321109,ryczalt,Padaczka oporna na leczenie,"3,20"
Gabacol,Gabapentinum, kaps. twarde, 300 mg,50 kaps.,05909991321048,ryczalt,Padaczka oporna na leczenie,"3,22"
Gabacol,Gabapentinum, kaps. twarde, 400 mg,100 kaps.,05909991321369,ryczalt,Padaczka oporna na leczenie,"3,20"
Gabacol,Gabapentinum, kaps. twarde, 400 mg,50 kaps.,05909991321307,ryczalt,Padaczka oporna na leczenie,"3,27"
Gabagamma 100,Gabapentinum, kaps. twarde, 100 mg,100 szt. (10 blist.po 10 szt.),05909990714322,ryczalt,Padaczka oporna na leczenie,"4,56"
Gabapentin Aurovitas,Gabapentinum, kaps. twarde, 100 mg,100 szt.,05909991331108,ryczalt,Padaczka oporna na leczenie,"3,42"
Gabapentin Aurovitas,Gabapentinum, kaps. twarde, 300 mg,100 szt.,05909991331153,ryczalt,Padaczka oporna na leczenie,"3,20"
Gabapentin Aurovitas,Gabapentinum, kaps. twarde, 400 mg,100 szt.,05909991331207,ryczalt,Padaczka oporna na leczenie,"3,20"
Gabapentin Teva,Gabapentinum, kaps. twarde, 100 mg,100 szt. (10 blist.po 10 szt.),05909990339495,ryczalt,Padaczka oporna na leczenie,"9,66"
Gabapentin Teva,Gabapentinum, kaps. twarde, 300 mg,100 szt. (10 blist.po 10 szt.),05909990339709,ryczalt,Padaczka oporna na leczenie,"3,20"
